Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,19,19.3,19.5,19.7,19.9,20.2,20.5,20.8,21.3,21.7,22,22.4,8,8.1,8.2,8.3,8.4,8.5,8.5,8.6,8.6,8.7,8.7
Austria,8,8,8.1,8.1,8.2,8.2,8.3,8.3,8.3,8.3,8.4,8.4,22.7,23.1,23.5,23.8,24.2,24.6,25,25.4,25.7,25.9,26.2
Belgium,10.3,10.3,10.4,10.4,10.5,10.5,10.6,10.7,10.7,10.8,10.9,11,11,11.1,11.2,11.3,11.3,11.4,11.5,11.5,11.6,11.6,11.7
Bulgaria,8.1,8,8,7.9,7.9,7.8,7.8,7.7,7.7,7.6,7.6,7.5,7.5,7.4,7.4,7.3,7.2,7.2,7.1,7.1,7,6.9,6.8
Croatia,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
Czechia,10.2,10.2,10.2,10.3,10.3,10.3,10.3,10.3,10.4,10.4,10.5,10.5,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.1,4
Denmark,5.3,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.7,5.8,5.8,5.8,5.9,5.9
Estonia,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Finland,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.4,5.4,63.1,63.3,63.6,63.8,64,64.1,64.3,64.4,64.5,64.5,64.6
France,58.7,59,59.4,59.7,60.1,60.5,60.9,61.3,61.7,62.1,62.4,62.8,81.6,81.7,81.9,82.1,82.3,82.6,82.9,83.2,83.3,83.4,83.4
Germany,81.6,81.5,81.4,81.4,81.3,81.2,81.2,81.2,81.2,81.3,81.3,81.4,11,10.9,10.9,10.8,10.8,10.7,10.6,10.6,10.5,10.5,10.4
Greece,11,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11,11,9.9,9.9,9.9,9.8,9.8,9.8,9.8,9.8,9.8,9.7,10
Hungary,10.2,10.2,10.2,10.1,10.1,10.1,10.1,10,10,10,10,10,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
Iceland,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,4.6,4.6,4.6,4.7,4.7,4.8,4.8,4.9,4.9,5,5
Ireland,3.8,3.8,3.9,4,4,4.1,4.2,4.4,4.5,4.5,4.5,4.5,60.2,60.3,60.3,60.2,60.1,60,59.9,59.7,59.5,59.2,59
Italy,57,57,57.1,57.4,57.9,58.2,58.4,58.8,59.2,59.6,59.8,60,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Latvia,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,3.1,3,3,3,2.9,2.9,2.9,2.8,2.8,2.8,2.8
Lithuania,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Luxembourg,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,16.8,16.9,17,17,17.1,17.2,17.3,17.4,17.4,17.5,17.6
Malta,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.5,10.5,10.4,10.4,10.3,10.3,10.3,10.3,10.3,10.3,10.3
Netherlands,15.9,16,16.1,16.1,16.2,16.3,16.3,16.4,16.5,16.5,16.6,16.7,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.4,5.6
Norway,4.5,4.5,4.5,4.6,4.6,4.6,4.7,4.7,4.8,4.8,4.9,5,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Poland,38.5,38.7,38.7,38.6,38.6,38.6,38.6,38.5,38.5,38.6,38.6,38.6,46.8,46.6,46.5,46.4,46.5,46.6,46.8,47.1,47.4,47.5,47.6
Portugal,10.3,10.4,10.4,10.5,10.5,10.5,10.5,10.6,10.6,10.6,10.6,10.6,9.6,9.6,9.7,9.8,10,10.1,10.2,10.3,10.4,10.5,10.6
Slovakia,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,63.8,64.3,64.8,65.2,65.7,66.1,66.4,66.8,67.1,67.3,67.5
Slovenia,2,2,2,2,2,2,2,2,2,2,2.1,2.1,8.4,8.5,8.5,8.6,8.7,8.8,8.8,8.9,8.9,8.9,8.9
Spain,40.7,41,41.5,42.2,43,43.7,44.4,45.3,46,46.4,46.6,46.7,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Sweden,8.9,8.9,8.9,9,9,9.1,9.1,9.2,9.2,9.3,9.4,9.5,2.1,2,2,2,2,2,1.9,1.9,1.9,1.9,1.9
Switzerland,7.2,7.2,7.3,7.3,7.4,7.4,7.5,7.5,7.6,7.7,7.8,7.9,5,5.1,5.1,5.2,5.2,5.3,5.3,5.3,5.4,5.4,5.4
United Kingdom,58.9,59.1,59.4,59.7,60,60.4,60.8,61.3,61.7,62.2,62.8,63.3,38.6,38.6,38.6,38.6,38.5,38.5,38.5,38.5,38.4,38.3,39.9
